Allowed: 172.16.51.40:45086 -> 255.255.255.255:10001 | Protocol: UDP | Location: N/A
Allowed: 172.16.62.5:47320 -> 255.255.255.255:10001 | Protocol: UDP | Location: N/A
Allowed: 172.16.61.199:44339 -> 255.255.255.255:10001 | Protocol: UDP | Location: N/A
Allowed: 172.16.63.30:5353 -> 224.0.0.251:5353 | Protocol: UDP | Location: N/A
Allowed: 10.10.90.151:39250 -> 255.255.255.255:29810 | Protocol: UDP | Location: N/A
Allowed: 172.16.63.30:5353 -> 224.0.0.251:5353 | Protocol: UDP | Location: N/A
Allowed: 100.29.175.103:443 -> 172.16.63.134:63166 | Protocol: TCP | Location: N/A
Allowed: 172.16.63.134:63166 -> 100.29.175.103:443 | Protocol: TCP | Location: N/A
Allowed: 172.16.63.30:5353 -> 224.0.0.251:5353 | Protocol: UDP | Location: N/A
Allowed: 172.16.63.30:5353 -> 224.0.0.251:5353 | Protocol: UDP | Location: N/A
Allowed: 172.16.51.147:41976 -> 255.255.255.255:10001 | Protocol: UDP | Location: N/A
Allowed: 172.16.62.79:5353 -> 224.0.0.251:5353 | Protocol: UDP | Location: N/A
Allowed: 172.16.51.82:33090 -> 255.255.255.255:10001 | Protocol: UDP | Location: N/A
Allowed: 172.16.62.33:48807 -> 239.255.255.250:1900 | Protocol: UDP | Location: N/A
Allowed: 172.16.63.30:5353 -> 224.0.0.251:5353 | Protocol: UDP | Location: N/A
Allowed: 172.16.63.25:5353 -> 224.0.0.251:5353 | Protocol: UDP | Location: N/A
Allowed: 10.10.90.114:55142 -> 255.255.255.255:29810 | Protocol: UDP | Location: N/A
Allowed: 172.16.63.25:5353 -> 224.0.0.251:5353 | Protocol: UDP | Location: N/A
Allowed: 172.16.63.25:5353 -> 224.0.0.251:5353 | Protocol: UDP | Location: N/A
Allowed: 172.16.63.25:5353 -> 224.0.0.251:5353 | Protocol: UDP | Location: N/A
Allowed: 10.10.91.154:54476 -> 255.255.255.255:29810 | Protocol: UDP | Location: N/A
Allowed: 172.16.63.25:5353 -> 224.0.0.251:5353 | Protocol: UDP | Location: N/A
Allowed: 172.16.63.30:5353 -> 224.0.0.251:5353 | Protocol: UDP | Location: N/A
Allowed: 10.10.91.156:34005 -> 255.255.255.255:29810 | Protocol: UDP | Location: N/A
Allowed: 172.16.63.25:5353 -> 224.0.0.251:5353 | Protocol: UDP | Location: N/A
Allowed: 10.10.90.152:46498 -> 255.255.255.255:29810 | Protocol: UDP | Location: N/A
Allowed: 172.16.63.25:5353 -> 224.0.0.251:5353 | Protocol: UDP | Location: N/A
Allowed: 172.16.63.25:5353 -> 224.0.0.251:5353 | Protocol: UDP | Location: N/A
Allowed: 172.16.63.25:5353 -> 224.0.0.251:5353 | Protocol: UDP | Location: N/A
Allowed: 172.16.60.197:48752 -> 255.255.255.255:10001 | Protocol: UDP | Location: N/A
Allowed: 10.10.91.157:57149 -> 255.255.255.255:29810 | Protocol: UDP | Location: N/A
Allowed: 172.16.63.25:5353 -> 224.0.0.251:5353 | Protocol: UDP | Location: N/A
Allowed: 172.16.62.187:57359 -> 255.255.255.255:10001 | Protocol: UDP | Location: N/A
Allowed: 172.16.63.134:61894 -> 8.8.8.8:53 | Protocol: UDP | Location: N/A
Allowed: 8.8.8.8:53 -> 172.16.63.134:61894 | Protocol: UDP | Location: N/A
Allowed: 172.16.63.134:65231 -> 103.47.13.147:80 | Protocol: TCP | Location: N/A
